127.0.0.1, 2018-10-08 15:04:16, GET, /admin/static/_2.17.1/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.024093
127.0.0.1, 2018-10-25 11:35:46, GET, /, HTTP/1.1, 303, 0.020651
127.0.0.1, 2018-10-25 11:35:46, GET, /welcome/default/index, HTTP/1.1, 200, 0.293671
127.0.0.1, 2018-10-25 11:35:49, GET, /welcome/default/index, HTTP/1.1, 200, 0.033173
127.0.0.1, 2018-10-25 11:35:53, GET, /admin/default/site, HTTP/1.1, 303, 0.434890
127.0.0.1, 2018-10-25 11:35:53, GET, /admin/default/index, HTTP/1.1, 200, 0.048792
127.0.0.1, 2018-10-25 11:35:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000519
127.0.0.1, 2018-10-25 11:35:55, POST, /admin/default/index, HTTP/1.1, 303, 0.016806
127.0.0.1, 2018-10-25 11:35:55, GET, /admin/default/site, HTTP/1.1, 200, 0.060675
127.0.0.1, 2018-10-25 11:35:55, POST, /admin/default/check_version, HTTP/1.1, 200, 0.296029
127.0.0.1, 2018-10-25 11:35:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000310
127.0.0.1, 2018-10-25 11:35:59, GET, /wat/default/index, HTTP/1.1, 200, 0.137943
127.0.0.1, 2018-10-25 11:35:59, GET, /wat/static/css/custom.css, HTTP/1.1, 200, 0.003690
127.0.0.1, 2018-10-25 11:35:59, GET, /wat/static/css/stupid.css, HTTP/1.1, 200, 0.000756
127.0.0.1, 2018-10-25 11:35:59, GET, /wat/static/css/web2py.css, HTTP/1.1, 200, 0.003696
127.0.0.1, 2018-10-25 11:35:59, GET, /wat/static/css/calendar.css, HTTP/1.1, 200, 0.005674
127.0.0.1, 2018-10-25 11:35:59, GET, /wat/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.007422
127.0.0.1, 2018-10-25 11:35:59, GET, /wat/static/css/myapp.css, HTTP/1.1, 200, 0.001571
127.0.0.1, 2018-10-25 11:35:59, GET, /wat/static/js/jquery.js, HTTP/1.1, 200, 0.000724
127.0.0.1, 2018-10-25 11:35:59, GET, /wat/static/js/web2py.js, HTTP/1.1, 200, 0.001063
127.0.0.1, 2018-10-25 11:35:59, GET, /wat/static/js/vue.min.js, HTTP/1.1, 200, 0.003014
127.0.0.1, 2018-10-25 11:35:59, GET, /wat/static/js/calendar.js, HTTP/1.1, 200, 0.004255
127.0.0.1, 2018-10-25 11:35:59, GET, /wat/static/js/marked.min.js, HTTP/1.1, 200, 0.004711
127.0.0.1, 2018-10-25 11:35:59, GET, /wat/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000490
127.0.0.1, 2018-10-25 11:35:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000397
127.0.0.1, 2018-10-25 11:37:40, GET, /wat/default/index_with_many_queries, HTTP/1.1, 200, 0.064189
127.0.0.1, 2018-10-25 11:37:40, GET, /wat/static/css/custom.css, HTTP/1.1, 304, 0.001970
127.0.0.1, 2018-10-25 11:37:40, GET, /wat/static/css/calendar.css, HTTP/1.1, 304, 0.002311
127.0.0.1, 2018-10-25 11:37:40, GET, /wat/static/css/myapp.css, HTTP/1.1, 304, 0.001780
127.0.0.1, 2018-10-25 11:37:40, GET, /wat/static/js/jquery.js, HTTP/1.1, 304, 0.000579
127.0.0.1, 2018-10-25 11:37:40, GET, /wat/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.002870
127.0.0.1, 2018-10-25 11:37:40, GET, /wat/static/css/web2py.css, HTTP/1.1, 304, 0.005514
127.0.0.1, 2018-10-25 11:37:40, GET, /wat/static/css/stupid.css, HTTP/1.1, 304, 0.010557
127.0.0.1, 2018-10-25 11:37:40, GET, /wat/static/js/calendar.js, HTTP/1.1, 304, 0.000675
127.0.0.1, 2018-10-25 11:37:40, GET, /wat/static/js/web2py.js, HTTP/1.1, 304, 0.000651
127.0.0.1, 2018-10-25 11:37:40, GET, /wat/static/js/vue.min.js, HTTP/1.1, 304, 0.002404
127.0.0.1, 2018-10-25 11:37:40, GET, /wat/static/js/marked.min.js, HTTP/1.1, 304, 0.001517
127.0.0.1, 2018-10-25 11:37:40, GET, /wat/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.000878
127.0.0.1, 2018-10-25 11:37:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000422
127.0.0.1, 2018-10-25 11:38:00, GET, /wat/default/index, HTTP/1.1, 200, 0.035641
127.0.0.1, 2018-10-25 11:38:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000526
127.0.0.1, 2018-10-25 13:53:33, GET, /admin/default/peek/start/models/db.py, HTTP/1.1, 303, 0.023040
127.0.0.1, 2018-10-25 13:53:33, GET, /admin/default/index, HTTP/1.1, 200, 0.031049
127.0.0.1, 2018-10-25 13:53:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000444
127.0.0.1, 2018-10-25 13:53:35, POST, /admin/default/index, HTTP/1.1, 303, 0.015468
127.0.0.1, 2018-10-25 13:53:35, GET, /admin/default/peek/start/models/db.py, HTTP/1.1, 200, 0.062442
127.0.0.1, 2018-10-25 13:53:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000362
127.0.0.1, 2018-10-25 13:54:08, GET, /admin/default/index, HTTP/1.1, 303, 0.003384
127.0.0.1, 2018-10-25 13:54:08, GET, /admin/default/site, HTTP/1.1, 200, 0.072282
127.0.0.1, 2018-10-25 13:54:09, POST, /admin/default/check_version, HTTP/1.1, 200, 0.269536
127.0.0.1, 2018-10-25 13:54:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000415
127.0.0.1, 2018-10-25 13:54:10, GET, /admin/default/peek/start/models/db.py, HTTP/1.1, 200, 0.025663
127.0.0.1, 2018-10-25 13:54:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000392
127.0.0.1, 2018-10-25 13:54:13, GET, /admin/default/design/start, HTTP/1.1, 200, 0.347637
127.0.0.1, 2018-10-25 13:54:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000407
127.0.0.1, 2018-10-25 13:54:16, GET, /admin/default/peek/start/models/tables.py, HTTP/1.1, 200, 0.016067
127.0.0.1, 2018-10-25 13:54:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000904
127.0.0.1, 2018-10-25 13:55:12, GET, /admin/default/design/start, HTTP/1.1, 200, 0.106746
127.0.0.1, 2018-10-25 13:55:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000381
127.0.0.1, 2018-10-25 13:55:14, GET, /admin/default/peek/start/models/menu.py, HTTP/1.1, 200, 0.020743
127.0.0.1, 2018-10-25 13:55:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000253
127.0.0.1, 2018-10-25 13:55:52, GET, /admin/default/design/start, HTTP/1.1, 200, 0.119506
127.0.0.1, 2018-10-25 13:55:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000372
127.0.0.1, 2018-10-25 13:56:37, GET, /admin/default/peek/start/views/layout.html, HTTP/1.1, 200, 0.027121
127.0.0.1, 2018-10-25 13:56:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000435
127.0.0.1, 2018-10-25 13:56:40, GET, /admin/default/design/start, HTTP/1.1, 200, 0.147321
127.0.0.1, 2018-10-25 13:56:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000366
127.0.0.1, 2018-10-25 13:56:45, GET, /admin/default/peek/start/views/default/user.html, HTTP/1.1, 200, 0.021098
127.0.0.1, 2018-10-25 13:56:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000587
127.0.0.1, 2018-10-25 13:56:52, GET, /admin/default/design/start, HTTP/1.1, 200, 0.118434
127.0.0.1, 2018-10-25 13:56:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000415
127.0.0.1, 2018-10-25 13:56:55, GET, /admin/default/peek/start/views/default/index.html, HTTP/1.1, 200, 0.014666
127.0.0.1, 2018-10-25 13:56:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000462
127.0.0.1, 2018-10-25 13:57:03, GET, /admin/default/design/start, HTTP/1.1, 200, 0.115838
127.0.0.1, 2018-10-25 13:57:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000392
127.0.0.1, 2018-10-25 13:57:23, GET, /start/default/edit/1, HTTP/1.1, 404, 0.035940
127.0.0.1, 2018-10-25 13:57:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000387
127.0.0.1, 2018-10-25 13:57:26, GET, /start/default/index, HTTP/1.1, 200, 0.030999
127.0.0.1, 2018-10-25 13:57:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000431
127.0.0.1, 2018-10-25 13:57:29, GET, /start/default/index, HTTP/1.1, 200, 0.035344
127.0.0.1, 2018-10-25 13:57:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000928
127.0.0.1, 2018-11-24 11:50:22, GET, /, HTTP/1.1, 303, 0.037265
127.0.0.1, 2018-11-24 11:50:22, GET, /welcome/default/index, HTTP/1.1, 200, 0.458938
127.0.0.1, 2018-11-24 11:50:23, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001361
127.0.0.1, 2018-11-24 11:50:26, GET, /admin/default/site, HTTP/1.1, 303, 0.410194
127.0.0.1, 2018-11-24 11:50:26, GET, /admin/default/index, HTTP/1.1, 200, 0.048197
127.0.0.1, 2018-11-24 11:50:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000431
127.0.0.1, 2018-11-24 11:50:28, POST, /admin/default/index, HTTP/1.1, 303, 0.012893
127.0.0.1, 2018-11-24 11:50:28, GET, /admin/default/site, HTTP/1.1, 200, 0.066651
127.0.0.1, 2018-11-24 11:50:29, POST, /admin/default/check_version, HTTP/1.1, 200, 0.347236
127.0.0.1, 2018-11-24 11:50:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000307
127.0.0.1, 2018-11-24 11:50:31, GET, /my_holdings_sim/default/index, HTTP/1.1, 200, 0.169618
127.0.0.1, 2018-11-24 11:50:31, GET, /my_holdings_sim/static/css/stupid.css, HTTP/1.1, 200, 0.002391
127.0.0.1, 2018-11-24 11:50:31, GET, /my_holdings_sim/static/css/web2py.css, HTTP/1.1, 200, 0.001942
127.0.0.1, 2018-11-24 11:50:31, GET, /my_holdings_sim/static/css/custom.css, HTTP/1.1, 200, 0.000869
127.0.0.1, 2018-11-24 11:50:31, GET, /my_holdings_sim/static/css/myapp.css, HTTP/1.1, 200, 0.005663
127.0.0.1, 2018-11-24 11:50:31, GET, /my_holdings_sim/static/css/calendar.css, HTTP/1.1, 200, 0.001994
127.0.0.1, 2018-11-24 11:50:31, GET, /my_holdings_sim/static/js/jquery.js, HTTP/1.1, 200, 0.003830
127.0.0.1, 2018-11-24 11:50:31, GET, /my_holdings_sim/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.006510
127.0.0.1, 2018-11-24 11:50:31, GET, /my_holdings_sim/static/js/calendar.js, HTTP/1.1, 200, 0.000642
127.0.0.1, 2018-11-24 11:50:31, GET, /my_holdings_sim/static/js/default_index.js, HTTP/1.1, 200, 0.000830
127.0.0.1, 2018-11-24 11:50:31, GET, /my_holdings_sim/static/js/vue.js, HTTP/1.1, 200, 0.000719
